ResultsVersion,ResultsDate,Company,Location,Position,PostingDate,FullDetailsURL,AllQualifications,Applicants,Employment type,Industries,Job function,Seniority level
1,06/09/2021 14h,McKinsey & Company,"Lisbon, Lisbon, Portugal",Data Scientist,2021-09-04,https://linkedin.com/jobs/view/data-scientist-at-mckinsey-company-2679902436,"['Master’s degree in a quantitative field like computer science, engineering, statistics, mathematics or related field; advanced degree is a strong plus', '3+ years of hands-on data scientist mathematical modelling experience in a business environment or equivalent', 'Proficiency in Python, R ', 'Advanced knowledge of statistical and data mining techniques (regression, decision trees, clustering, neural networks, etc.)', 'Experience working in B2B Commercial experience with any of the following sectors Aviation, Energy, Chemical, Medical Devices, Industrial) is required and B2B Pricing experience his highly beneficial', 'Proven experience in working with large datasets and relational databases (SQL)', 'Knowledge of additional programming languages is a plus (C++, Java)', 'Intellectual curiosity along with excellent problem-solving and quantitative skills including the ability to disaggregate issues, identify root causes and recommend solutions', 'Strong leadership skills; ability to inspire others, build strong relationships and create a true followership', 'Result-driven; demonstrates professional attitude', 'Strong people/team orientation skills', 'Distinctive communications skills; ability to communicate analytical and technical content in a comprehensible way']",Be among the first 25 applicants,Full-time,"Automotive, Aviation & Aerospace, and Management Consulting","Consulting, Information Technology, and Marketing",Associate
1,06/09/2021 14h,Siemens,"Lisbon, Lisbon, Portugal",Data Scientist (m/f/d),2021-08-08,https://linkedin.com/jobs/view/data-scientist-m-f-d-at-siemens-2706094046,"['Work with large, complex data sets and applying advanced analytical methods as needed', 'Develop custom data models and algorithms to apply to data sets.', 'Run PoCs and Pilots projects to investigate and prove the feasibility and benefits of the proposed solutions', 'Interact with multiple stakeholders (from different levels) and effectively present findings by exploting visual displays of complex quantity information in a simplified way', 'Identify and develop intelligent and innovative data analytics use cases to optimize business processes', 'Actively and proactively perform market/trend scouting to stay up to date on the state-of-the-art technologies', '3-5 yrs expert knowledge in advanced data analytics/data science', ""Master's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or related field"", 'Experience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)', 'Experience with statistical and machine learning methods', 'Experience with cloud technologies: Amazon Web Services and/or Microsoft Azure', 'Experience on collecting business requirements and traduce it into solution designs', 'Very good communication and presentation skills', 'Fluency in English']",Be among the first 25 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Mid-Senior level
1,06/09/2021 14h,Siemens,"Lisbon, Lisbon, Portugal",Junior Data Scientist (m/f/d),2021-08-01,https://linkedin.com/jobs/view/junior-data-scientist-m-f-d-at-siemens-2697732903,"['Build predictive and machine learning models with algorithms such as Neural Networks, Decision Trees, Boosting / Ensemble methods, Clustering, etc;', 'Constantly innovate by creating new variables; ', 'Improve modeling techniques to increase model performance;', 'Maintain and refine existing Models and procedures for building high-end analytical modeling processes', 'Data Analysis of large volumes of IoT data.', 'Experience with machine learning, data mining, statistics, or graph algorithms in academic or internship environments', 'Experience using Python, Pandas, Scikit-learn. Deep learning is a plus.', 'Knowledge of a programming language including Python, Java, JavaScript, C#', 'The ability to leverage expertise in data gathering, analytical, and problem-solving work', 'Demonstrate working knowledge of statistics', 'Possess good technical writing skills', 'Excellent attention to detail', 'Excellent oral and written skills in English']",Be among the first 25 applicants,Full-time,Electrical/Electronic Manufacturing,Information Technology,Associate
1,06/09/2021 14h,Capgemini Engineering,"Lisbon, Lisbon, Portugal",Data Scientist (M/F) - Lisbon,2021-09-06,https://linkedin.com/jobs/view/data-scientist-m-f-lisbon-at-capgemini-engineering-2706614575,"['Acesso a uma comunidade de mais de 400 pessoas em AI, sendo 50 em Portugal.', 'Formação, sendo a integração na equipa efetuada com training imediato.', 'Participação em projetos em Portugal e internacionais (a partir de Portugal).', 'Desafios bastantes complexos em ambiente on-prem e Cloud.', 'Integração no World Class Centre da Altran para AI, Tessella, que opera em 7 países e tem mais 400 pessoas em AI sendo 150 PHDs.', 'Formação superior em Engenharia Informática, Matemática ou Química, etc..;', 'Conhecimentos de matemática e estatística;', 'Interesse/conhecimentos em Machine learning e Deep learning;', 'Interesse/conhecimentos de SparkML, Keras, TensorFlow, H20, Knime são um plus;', 'Bom nível de Inglês;']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Staffing and Recruiting",Engineering and Information Technology,Entry level
1,06/09/2021 14h,Nokia,"Amadora, Lisbon, Portugal",Data Scientist (Traineeship),2021-07-13,https://linkedin.com/jobs/view/data-scientist-traineeship-at-nokia-2637667060,"['Empowered, open environment where everyone is heard', 'Dynamic multi-cultural company and opportunity to learn from others', 'Development path established since day one', 'Paid traineeship with direct contract with Nokia of 9 or 12 months with possibility of permanent contract afterwards', 'Opportunity to work remotely (hybrid system)', 'Help customers drive significant business outcomes and ROI by leveraging the insights uncovered through process mining capability', 'Collaborate with process owners and technical teams to understand their goals, objectives and requirements and translate them into process mining capability technical requirements', 'Supporting the development automatic ways to track and monitor value realization, contributing to ROI build-up', 'Supporting the planning, scheduling, and managing project timelines and activities from project kick-off through training to ensure each project is delivered on time and meets customer requirements', 'Supporting end-to-end the implementation of our process mining capability across various internal customers', ' Connect the process mining capability with the customer’s on-premise/ Cloud ERP & IT systems', 'Extract and transform data and load them into the process mining platform', 'Build / update analysis in Process Studio', 'Design process and customer-specific dashboards, analyses and reports', 'Implement the most relevant KPIs measuring the customer’s success', 'create new signals in Action Engine', 'New functionality development (e.g. ML Workbench) ', 'Implement operational App', 'Successfully completed studies in Business Informatics, Computer Science, Information-oriented Business Administration/ Economics, Mathematics.', 'Love converting problems into solutions', 'A self-starter attitude, able to navigate complex scenarios and truly enjoys working in a fast-paced, innovative, enterprise technology environment', 'Fluent English skills (comfortable in working and presenting in English, other languages are an advantage)', 'Enjoys deep technical discussions as much as transferring your technical knowledge in generally understandable terms to a broader audience', 'Interest in a job with a steep learning curve in order to think outside the box and to continuously broaden your knowledge', 'Strong interest in value driven approaches (KPIs definition, business case calculations, value realization approaches) and Data topics (Big Data, Data Mining, and Process Mining)', 'Ability to translate complex problems into step-by-step explanations and solutions', 'Knowledge in and high interest in modern technologies and methods like REST/SOAP API-Management, Data Ingestion & Streaming, SSO, LDAP, IT Security, etc.', 'Knowledge of SQL, PQL or other programming languages (Python, R, Matlab...)', 'A good understanding of data structures in ERP systems (e.g. SAP, Oracle)', 'Celonis Track Certification (Analyst, Data Engineer)', 'Knowledge in data pipelines and ETL processes, ETL jobs, data warehouses/lakes, data modelling, schema design, ideally for larger volumes of data']",47 applicants,Full-time,Information Technology and Services and Telecommunications,Engineering and Information Technology,Not Applicable
1,06/09/2021 14h,CI&T,"Lisbon, Portugal","Data Scientist, Portugal",2021-08-27,https://linkedin.com/jobs/view/data-scientist-portugal-at-ci-t-2694836498,[],Be among the first 25 applicants,Full-time,Information Technology and Services,Information Technology and Engineering,Mid-Senior level
1,06/09/2021 14h,SGS,"Lisboa, Lisbon, Portugal",Data Scientist,2021-07-25,https://linkedin.com/jobs/view/data-scientist-at-sgs-2688730094,"['Collaborate with your squad and the network of Data Scientists to develop and deliver digital services with a focus on quick execution, affordability and delivery at scale;', 'Participate in all aspects of agile software development including design, development, implementation, test and deployment;', 'Architect, model, and assist in the development of services to support internal and external business needs;', 'Work across the full data stack, building highly scalable models that enable unique and useful insight into the data;', 'Perform data discovery, preparation, model planning, model building, operation, presentation and visualisation;', 'Plan for a model by using different statistical formulas and visualization tools; ', 'Distribute datasets for training and testing. Techniques like association, classification, and clustering can be applied to the training data sets;', 'Deliver the final baselined model with reports, code, and technical documents. Model should be deployed into a real-time production environment after thorough testing;', 'Communicate key findings to your squad and all relevant stakeholders;', 'Self-document data processes, conduct peer reviews, and give actionable feedback;', 'Work with the company validation- and agile development methodologies, adhering to best practices and pursuing continuous improvement;', 'Actively contribute to the squad rituals such as planning meetings, standups, and retrospects.', 'Bachelor’s degree in computer science or equivalent experience;', 'Possess the ability to manage enormous amounts of data to come up with compelling business visions by using various tools, techniques, methodologies, algorithms, etc;', 'Must have experience using at least one of the following, R, SAS, Python, SQL, Hive, Matlab, Pig, Spark;', 'Knowledge of various DBMS technology such as MySQL, MongoDB, Oracle, SQLServer;', 'Experience working in a lean / agile development environment with remote teams utilizing principles of agile development with continuous integration and deployment, test driven development, and pair programming.']",Be among the first 25 applicants,Full-time,"Business Supplies and Equipment, Consumer Services, and Oil & Energy",Information Technology,Mid-Senior level
1,06/09/2021 14h,Worldpanel by Kantar,"Lisbon, Portugal",Data Scientist,2021-09-02,https://linkedin.com/jobs/view/data-scientist-at-worldpanel-by-kantar-2700469384,"['Develop Machine Learning solutions to improve the quality and efficiency of Kantar Worldpanel services globally;', 'Perform statistical analysis to identify new relevant indicators and business trends; ', 'Apply data engineering methods to deliver automated solutions, and explore new Machine Learning methods to efficiently analyze large sets of data;', 'Collaborate in building predictive models for targeted solutions, working with engineers to develop efficient data querying and modeling infrastructure;', 'Create data visualizations and communicate the analyses and findings through documents and presentations.', 'Advanced university degree (Master’s degree or equivalent degree) in Computer Science, Engineering, Mathematics, Statistics, Physics, Econometrics or equivalent quantitative fields.', '1-2 years of relevant work experience in a Machine Learning or Data Science role;', 'Knowledge of Machine Learning techniques (e.g. Supervised Learning - Tree models, Ensembles, Deep Learning and its various architectures, Unsupervised Learning – K-means, Gaussian Mixtures, DBSCAN, Dimensionality Reduction – PCA, TSNE, ICA, Factor Analysis);', 'Knowledge of Probability and statistics (e.g., Distributions, Hypothesis testing, Time Series concepts, Bayesian framework, etc.);', 'Knowledge of Python and/or other platforms and languages (e.g., Spark, SQL, R);', 'Experience with Python libraries like TensorFlow, scikit-learn, nltk, numpy, pandas or equivalent;', 'Experience with Azure Databricks platform is a plus;', 'Team player and likes to work with others to get a clear understanding of the context around the data;', 'Strong communication and interpersonal skills;', 'Fluent in English; ', 'Curiosity and passion for learning\xa0;']",Be among the first 25 applicants,Full-time,Market Research,"Analyst, Consulting, and Information Technology",Entry level
1,06/09/2021 14h,Mind Source,"Lisbon, Lisbon, Portugal",Data Scientist,2021-09-02,https://linkedin.com/jobs/view/data-scientist-at-mind-source-2706969525,"[' Licenciatura em Eng. Informática ou equivalente;', ' Experiência profissional mínima de 3 anos em funções semelhantes (fator obrigatório);', ' Sólidos conhecimentos técnicos e metodológicos das principais técnicas estatísticas e de machine learning;', ' Sólidos conhecimentos de SAS Miner, R e Python (fator obrigatório);', ' Forte sentido analítico e crítico;', ' Fluência em Inglês;', ' Boas capacidades de comunicação, oral e escrita.', ' Conhecimento do negócio segurador é valorizado.', ' Consultora de Tecnologias de Informação e Processos de Negócio', ' Atuamos nas áreas de Business Analytics, Development e Governance', ' 12 anos experiência', ' 200 Talentos', ' Great Place to Work há 9 anos consecutivos', ' Parceiros dos melhores fabricantes (SAS, OutSystems, Microsoft)', ' Uma marca Rumos Consulting', ' Contrato de Trabalho', ' Formação profissional credenciada', ' Mentoring', ' Acompanhamento nos projetos e aconselhamento de carreira - Talent Management', ' Foco na progressão de carreira e crescimento', ' Desenvolvimento de projetos inovadores e aliciantes', ' Integração numa equipa jovem e dinâmica']",Be among the first 25 applicants,Full-time,"Information Technology and Services, Computer Software, and Management Consulting",Engineering and Information Technology,Entry level
1,06/09/2021 14h,Feedzai,"Lisbon, Lisbon, Portugal",Data Scientist,2021-08-09,https://linkedin.com/jobs/view/data-scientist-at-feedzai-2702470603,"['Understanding the data which our clients provide to us;', 'Cleaning that data and validating that it is correct;', 'Preprocessing the data, usually by using a mixture of shell scripts and a programming language such as Python, Java, Scala, etc', 'Iteratively computing features and tuning parameters to improve the quality of the model;', 'Communicating your findings to the project manager and assisting him/her in decision making on the Data Science part of the project;', 'Work together with key stakeholders (data scientists, engineers, risk managers) from our clients;', 'Work with other parts of the organization (Product, Research, etc.) to improve processes, best practices and tooling.', 'MSc or PhD in Computer Science, Electrical Engineering, Statistics, Applied Mathematics, Physics or related field;', 'Proficient in Machine Learning (training and testing, avoiding overfit, etc.);', 'Knowledge of Big Data technologies such as Spark, Hadoop and related;', 'Proficiency in bash, Python and either Java or Scala;', 'Knowledge of resource monitoring and runtime optimization (both at JVM and OS level);', 'Knowledge of statistics or data visualization is a plus;', 'Knowledge of tree based algorithms (Random Forests, XGBoost, LGBM) is a plus;', 'Knowledge of Deep Learning algorithms is a plus;', 'Ability to communicate your findings in a clear way.']",Be among the first 25 applicants,Full-time,"Computer Software, Financial Services, and Information Technology and Services",Engineering and Information Technology,Entry level
